"","x"
"1","Codering"
"2","Bevolking.Onderwerpen"
"3","Bevolking.Aantal.inwoners"
"4","Bevolking.0.tot.15.jaar"
"5","Bevolking.15.tot.25.jaar"
"6","Bevolking.25.tot.45.jaar"
"7","Bevolking.45.tot.65.jaar"
"8","Bevolking.65.jaar.of.ouder"
"9","Bevolking.Huishoudens.totaal"
"10","Bevolking.Eenpersoonshuishoudens"
"11","Bevolking.Huishoudens.zonder.kinderen"
"12","Bevolking.Huishoudens.met.kinderen"
"13","Bevolking.Gemiddelde.huishoudensgrootte"
"14","Motorvoertuigen.Onderwerpen"
"15","Motorvoertuigen.Personenauto.s.totaal"
"16","Motorvoertuigen.Personenauto.s..jonger.dan.6.jaar"
"17","Motorvoertuigen.Personenauto.s..6.jaar.en.ouder"
"18","Motorvoertuigen.Personenauto.s..brandstof.benzine"
"19","Motorvoertuigen.Personenauto.s..overige.brandstof"
"20","Motorvoertuigen.Personenauto.s.per.huishouden"
"21","Motorvoertuigen.Personenauto.s.naar.oppervlakte"
"22","Motorvoertuigen.Bedrijfsmotorvoertuigen"
"23","Motorvoertuigen.Motortweewielers"
"24","SocialeZekerheid.Onderwerpen"
"25","SocialeZekerheid.Personen.per.soort.uitkering..Bijstand"
"26","SocialeZekerheid.Personen.per.soort.uitkering..AO"
"27","SocialeZekerheid.Personen.per.soort.uitkering..WW"
"28","SocialeZekerheid.Personen.per.soort.uitkering..AOW"
"29","Stedelijkheid.Onderwerpen"
"30","Stedelijkheid.Mate.van.stedelijkheid"
"31","Stedelijkheid.Omgevingsadressendichtheid"
"32","Aardgas.Onderwerpen"
"33","Aardgas.Gemiddeld.aardgasverbruik.totaal"
"34","Aardgas.Appartement"
"35","Aardgas.Tussenwoning"
"36","Aardgas.Hoekwoning"
"37","Aardgas.Twee.onder.één.kap.woning"
"38","Aardgas.Vrijstaande.woning"
"39","Aardgas.Huurwoning"
"40","Aardgas.Koopwoning"
"41","Aardgas.Percentage.woningen.met.stadsverwarming"
"42","Electriciteit.Onderwerpen"
"43","Electriciteit.Gemiddeld.elektriciteitsverbruik.totaal"
"44","Electriciteit.Appartement"
"45","Electriciteit.Tussenwoning"
"46","Electriciteit.Hoekwoning"
"47","Electriciteit.Twee.onder.één.kap.woning"
"48","Electriciteit.Vrijstaande.woning"
"49","Electriciteit.Huurwoning"
"50","Electriciteit.Koopwoning"
"51","Inkomen.Onderwerpen"
"52","Inkomen.Aantal.inkomensontvangers.."
"53","Inkomen.Gemiddeld.inkomen.per.inkomensontvanger."
"54","Inkomen.Gemiddeld.inkomen.per.inwoner."
"55","Inkomen.40..personen.met.laagste.inkomen"
"56","Inkomen.20..personen.met.hoogste.inkomen"
"57","Inkomen.Actieven.15.75.jaar"
"58","Inkomen.40..huishoudens.met.laagste.inkomen"
"59","Inkomen.20..huishoudens.met.hoogste.inkomen"
"60","Inkomen.Huishoudens.met.een.laag.inkomen"
"61","Inkomen.Huish..onder.of.rond.sociaal.minimum"
"62","Wonen.Onderwerpen"
"63","Wonen.Woningvoorraad"
"64","Wonen.Gemiddelde.woningwaarde"
"65","Wonen.Percentage.eengezinswoning"
"66","Wonen.Percentage.meergezinswoning"
"67","Wonen.Percentage.bewoond"
"68","Wonen.Percentage.onbewoond"
"69","Wonen.Koopwoningen"
"70","Wonen.Huurwoningen.totaal"
"71","Wonen.In.bezit.woningcorporatie"
"72","Wonen.In.bezit.overige.verhuurders"
"73","Wonen.Eigendom.onbekend"
